VDO_frame,pigID,head_xmin,head_ymin,head_xmax,head_ymax,body_xmin,body_ymin,body_xmax,body_ymax
1,1,321,251,397,325,298,182,544,325
1,2,507,484,590,565,506,483,666,660
1,3,67,36,137,118,68,34,312,137
1,4,299,53,361,137,296,43,538,145
1,5,322,553,405,609,290,397,415,608
1,6,65,287,144,356,67,114,185,354
1,7,144,637,190,696,76,459,188,695
1,8,540,282,605,345,504,280,604,495
1,9,495,634,551,710,351,614,548,709
1,10,184,662,234,717,180,496,256,719
500,1,310,243,380,327,299,180,543,325
500,2,432,491,494,589,431,491,662,656
500,3,66,36,134,123,63,30,313,137
500,4,310,78,375,164,300,45,538,164
500,5,68,495,152,564,67,461,348,566
500,6,65,292,144,356,66,124,176,356
500,7,111,645,188,699,78,464,187,697
500,8,551,349,628,415,488,349,627,522
500,9,553,645,607,714,406,624,606,717
500,10,368,645,408,718,194,620,410,713
1000,1,315,242,384,326,294,180,545,327
1000,2,448,482,530,560,447,481,655,617
1000,3,66,34,134,120,65,36,316,132
1000,4,323,28,401,91,302,24,540,145
1000,5,77,491,157,587,76,467,350,588
1000,6,67,287,142,354,68,114,176,353
1000,7,63,634,131,715,61,459,165,714
1000,8,334,74,411,142,202,72,411,240
1000,9,596,633,647,707,437,623,645,706
1000,10,334,632,417,706,184,614,419,703
1500,1,47,476,153,525,47,300,233,529
1500,2,59,114,147,194,59,113,318,216
1500,3,66,33,132,111,66,31,318,117
1500,4,599,117,678,195,439,6,679,195
1500,5,128,505,179,587,128,505,355,640
1500,6,74,288,139,360,66,164,159,357
1500,7,99,646,174,699,76,521,174,700
1500,8,604,179,669,250,427,83,669,254
1500,9,597,633,642,708,432,622,642,710
1500,10,343,613,400,686,184,611,413,707
2000,1,79,487,167,534,79,296,177,534
2000,2,637,275,720,330,625,272,728,525
2000,3,64,20,135,106,65,19,315,104
2000,4,72,81,129,145,73,77,347,196
2000,5,536,513,583,593,351,512,581,654
2000,6,60,282,114,350,56,134,174,347
2000,7,102,621,182,682,78,492,182,680
2000,8,280,242,350,306,195,241,350,454
2000,9,702,490,763,556,664,486,767,720
2000,10,613,593,683,684,455,591,681,716
2500,1,394,482,435,561,201,463,434,562
2500,2,475,78,533,158,476,58,726,157
2500,3,63,21,122,101,63,23,314,122
2500,4,148,263,214,332,142,92,246,334
2500,5,60,369,129,426,56,369,203,579
2500,6,62,282,131,353,63,109,147,351
2500,7,103,637,168,699,74,513,169,702
2500,8,414,202,468,270,268,201,469,354
2500,9,566,320,649,379,563,321,706,516
2500,10,421,557,481,632,420,558,624,717
3000,1,355,479,411,557,175,475,412,563
3000,2,75,91,148,176,73,69,321,176
3000,3,66,25,128,98,65,22,308,101
3000,4,139,257,220,303,138,129,245,302
3000,5,55,363,134,432,56,284,250,430
3000,6,56,270,126,351,58,122,154,353
3000,7,54,633,132,711,57,448,176,711
3000,8,418,194,479,255,288,192,478,358
3000,9,573,320,657,381,556,319,705,515
3000,10,406,588,467,664,404,588,631,707
3500,1,369,489,427,569,194,475,428,570
3500,2,111,75,166,159,110,73,359,179
3500,3,67,22,125,106,67,23,313,107
3500,4,411,124,477,189,259,124,475,301
3500,5,150,571,216,618,84,401,217,615
3500,6,61,278,131,353,60,120,173,352
3500,7,144,609,218,679,79,473,217,685
3500,8,438,215,494,283,288,205,491,357
3500,9,597,311,670,379,554,312,700,513
3500,10,399,593,473,672,401,592,632,704
4000,1,366,478,431,554,176,476,425,568
