VDO_frame,pigID,head_xmin,head_ymin,head_xmax,head_ymax,body_xmin,body_ymin,body_xmax,body_ymax
1,1,411,83,460,164,189,39,461,196
1,2,255,630,336,701,255,534,457,696
1,3,60,195,132,254,59,20,222,256
1,4,532,344,604,404,472,342,627,552
1,5,629,655,703,711,598,458,706,711
1,6,597,361,666,410,552,188,665,410
1,7,69,426,126,499,70,249,211,500
1,8,144,411,200,475,140,412,267,622
1,9,439,587,505,662,415,586,639,702
1,10,75,474,178,543,73,472,178,698
500,1,408,117,471,197,200,51,470,199
500,2,627,33,709,80,624,32,710,242
500,3,56,190,133,266,58,18,223,265
500,4,364,204,416,273,364,188,595,279
500,5,641,666,722,714,620,511,726,716
500,6,461,493,537,548,437,372,640,549
500,7,70,427,133,489,69,249,211,495
500,8,141,411,208,470,140,410,271,630
500,9,424,591,499,669,417,590,648,699
500,10,71,455,149,527,68,456,226,702
1000,1,416,116,467,199,200,49,469,198
1000,2,626,36,685,82,625,38,706,238
1000,3,59,182,125,271,59,16,208,268
1000,4,442,282,497,343,321,130,498,343
1000,5,489,303,533,373,489,304,728,382
1000,6,447,484,518,548,433,377,634,548
1000,7,66,428,137,482,67,248,205,490
1000,8,146,409,205,467,143,409,273,619
1000,9,425,593,488,663,412,591,651,699
1000,10,76,457,152,532,75,454,229,701
1500,1,411,68,452,154,197,39,451,193
1500,2,639,69,706,116,595,68,705,274
1500,3,61,179,120,270,57,21,205,270
1500,4,293,309,363,358,291,110,382,357
1500,5,490,295,558,364,490,295,740,388
1500,6,444,471,505,541,428,381,638,547
1500,7,67,404,133,482,68,247,211,485
1500,8,166,393,227,455,143,395,272,624
1500,9,428,588,494,658,415,586,650,703
1500,10,70,454,155,527,68,452,230,703
2000,1,400,63,450,148,207,46,450,194
2000,2,625,62,702,116,617,64,703,272
2000,3,62,183,122,269,61,21,205,268
2000,4,428,288,510,338,299,160,509,337
2000,5,477,288,533,371,479,269,712,369
2000,6,497,351,556,411,499,354,614,594
2000,7,69,412,134,482,66,250,211,482
2000,8,163,389,227,458,150,392,270,617
2000,9,422,596,493,669,410,593,652,700
2000,10,68,450,156,529,67,451,228,703
2500,1,413,83,452,166,199,43,454,209
2500,2,621,44,689,109,615,45,697,269
2500,3,67,203,152,251,64,27,177,252
2500,4,478,422,525,480,347,422,527,616
2500,5,157,25,202,89,155,22,380,110
2500,6,491,299,559,371,491,299,706,475
2500,7,70,423,134,485,69,248,211,488
2500,8,194,370,272,432,169,369,270,627
2500,9,432,587,500,661,410,588,651,699
2500,10,73,454,160,535,72,454,233,704
3000,1,360,238,428,290,207,124,438,288
3000,2,616,32,674,109,611,32,702,265
3000,3,389,279,440,343,197,213,440,345
3000,4,477,416,525,470,380,419,523,639
3000,5,154,21,211,91,154,21,389,146
3000,6,498,354,555,410,498,352,672,554
3000,7,78,426,165,488,75,242,205,487
3000,8,233,369,311,439,159,366,308,614
3000,9,439,604,504,676,415,604,644,698
3000,10,72,467,139,533,70,466,228,700
3500,1,366,236,431,307,200,120,429,305
3500,2,605,40,678,114,603,38,689,291
3500,3,272,363,350,411,182,196,349,407
3500,4,471,295,526,364,472,296,716,435
3500,5,194,21,269,88,195,21,413,151
3500,6,517,251,585,316,516,165,724,317
3500,7,149,382,233,445,84,239,233,446
3500,8,229,371,308,441,159,371,308,618
3500,9,413,594,487,666,411,596,652,701
3500,10,71,449,137,525,70,449,235,704
4000,1,340,264,409,316,206,132,421,315
4000,2,459,22,499,93,458,22,662,135
4000,3,57,521,103,587,55,460,257,593
4000,4,430,277,482,343,429,169,649,345
4000,5,192,38,261,96,182,36,409,158
4000,6,480,310,536,365,479,310,704,443
4000,7,69,415,148,494,66,237,207,495
4000,8,274,379,337,450,208,377,338,624
4000,9,428,550,489,616,410,550,621,700
4000,10,69,472,128,523,69,471,233,701
4500,1,331,256,399,300,208,129,401,301
4500,2,410,25,461,92,408,24,623,134
4500,3,56,509,131,583,58,345,231,583
4500,4,445,282,500,339,373,109,501,338
4500,5,193,33,266,96,179,32,403,162
4500,6,478,294,534,362,479,295,706,453
4500,7,66,425,132,492,66,247,209,489
4500,8,385,268,450,339,224,267,450,429
4500,9,471,413,530,460,453,411,530,643
4500,10,50,554,140,651,50,555,232,702
5000,1,269,324,345,366,215,136,357,367
5000,2,333,24,376,93,329,23,542,131
5000,3,72,457,152,525,70,456,189,697
5000,4,366,310,439,349,301,114,438,352
5000,5,127,136,183,204,126,55,341,205
5000,6,505,359,556,428,504,311,735,427
5000,7,72,423,139,484,68,250,211,486
5000,8,444,285,515,338,379,99,515,338
5000,9,472,410,529,456,455,410,529,643
5000,10,647,465,718,535,586,461,717,710
